,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-04-25,64255.77000000,65287.69000000,62747.18000000,64484.44000000,13256.29877715,64484.44
2024-04-26,64484.44000000,64810.00000000,63287.76000000,63742.39000000,10151.96247701,63742.39
2024-04-27,63742.39000000,63900.00000000,62389.00000000,63422.00000000,5312.16741262,63422.0
2024-04-28,63422.34000000,64333.33000000,62743.81000000,63108.94000000,4415.96831554,63108.94
2024-04-29,63109.76000000,64200.00000000,61741.01000000,63844.85000000,10712.13554316,63844.85
2024-04-30,63845.01000000,64727.81000000,59040.30000000,60622.10000000,21106.65540758,60622.1
2024-05-01,60621.20000000,60785.49000000,56500.00000000,58265.59000000,26611.93127340,58265.59
2024-05-02,58267.81000000,59641.03000000,56903.79000000,59071.89000000,13593.00905888,59071.89
2024-05-03,59070.30000000,63365.72000000,58821.05000000,62913.03000000,15954.29032707,62913.03
2024-05-04,62913.03000000,64546.00000000,62565.82000000,63902.88000000,6414.57464352,63902.88
2024-05-05,63902.88000000,64636.75000000,62908.34000000,64023.45000000,4474.51959190,64023.45
2024-05-06,64023.45000000,65523.44000000,62704.48000000,63162.24000000,11241.77217344,63162.24
2024-05-07,63161.35000000,64415.06000000,62252.64000000,62315.76000000,8994.93773002,62315.76
2024-05-08,62315.75000000,63013.05000000,60851.04000000,61169.53000000,7486.42596849,61169.53
2024-05-09,61169.53000000,63424.14000000,60601.60000000,63073.57000000,8360.05538240,63073.57
2024-05-10,63073.55000000,63470.00000000,60150.00000000,60787.47000000,11511.12990976,60787.47
2024-05-11,60787.99000000,61482.00000000,60450.13000000,60814.63000000,2338.06810837,60814.63
2024-05-12,60814.64000000,61843.45000000,60576.05000000,61453.02000000,2694.97577935,61453.02
2024-05-13,61453.01000000,63456.18000000,60738.51000000,62932.37000000,9170.80865115,62932.37
2024-05-14,62927.44000000,63103.02000000,61024.51000000,61539.84000000,13456.61307634,61539.84
2024-05-15,61539.70000000,66480.00000000,61299.57000000,66244.69000000,21821.38858725,66244.69
2024-05-16,66244.68000000,66772.83000000,64588.50000000,65252.18000000,12012.70197182,65252.18
2024-05-17,65252.17000000,67500.00000000,65113.46000000,67046.33000000,11710.00723895,67046.33
2024-05-18,67046.34000000,67407.79000000,66624.06000000,66923.87000000,3880.58113972,66923.87
